True_value,Prediction
[1135.8334],[1162.9341]
[797.461],[765.9777]
[1002.24],[982.58014]
[877.18665],[906.7012]
[1091.189],[1136.8157]
[914.9607],[925.9051]
[836.5753],[799.074]
[1120.0123],[1183.1156]
[1213.2783],[1291.3014]
[1040.3247],[1055.5654]
[1122.957],[1148.3207]
[782.904],[768.2233]
[681.80664],[689.80383]
[700.70966],[665.8965]
[1132.9164],[1084.191]
[1202.1157],[1160.147]
[946.27734],[947.70605]
[1104.797],[1050.0483]
[858.68536],[813.7009]
[926.14233],[972.40826]
[1390.369],[1361.6324]
[872.8697],[858.1138]
[976.20935],[914.20935]
[873.611],[917.9633]
[851.375],[952.17017]
[987.736],[1047.7283]
[1486.599],[1477.2142]
[681.107],[670.90234]
[919.315],[963.93994]
[843.2507],[908.0552]
[1236.8357],[1269.6775]
[957.65765],[935.6809]
[898.4457],[827.3217]
[1217.793],[1150.4908]
[886.2657],[927.83374]
[963.25464],[964.7236]
[711.5413],[700.3258]
[1158.625],[1157.8408]
[861.06067],[844.51]
[726.82635],[738.9194]
[1182.0327],[1234.2975]
[1228.5583],[1264.9111]
[958.286],[948.6243]
[1197.6597],[1261.3776]
[1594.3904],[1504.2454]
[792.662],[781.2902]
[617.6793],[633.06915]
[889.8253],[835.6489]
[1334.9597],[1239.1552]
[830.46967],[843.2976]
[1320.5187],[1302.3997]
[1314.3373],[1295.0925]
[1133.1013],[1110.3612]
[1121.5043],[1178.208]
[699.258],[745.53595]
[958.3613],[956.2978]
[612.302],[621.41785]
[915.0157],[952.51227]
[1012.486],[990.6694]
[1061.769],[1079.0142]
[852.38934],[825.49493]
[1271.6306],[1293.088]
[1411.7583],[1415.9166]
[1196.1144],[1274.1226]
[1242.3253],[1258.0906]
[853.4897],[825.61096]
[806.753],[875.1932]
[714.1907],[702.39404]
[722.864],[698.7667]
[1174.0243],[1222.708]
[1065.593],[1081.8785]
[1307.0507],[1346.4803]
[1221.5476],[1214.2478]
[1189.479],[1064.6923]
[961.30035],[996.0877]
[733.7363],[743.01874]
[935.89264],[945.1178]
[843.2637],[899.47864]
[709.235],[704.3326]
[1147.367],[1110.0203]
[1038.302],[1017.8494]
[1256.657],[1211.2073]
[879.5463],[877.88245]
[1152.51],[1138.7896]
[680.51965],[685.836]
[1017.5653],[1009.0052]
[805.09534],[825.7258]
[1006.7637],[970.2481]
[1155.762],[1167.7201]
[1254.2797],[1279.1516]
[1192.8313],[1175.8486]
[1068.749],[1086.5931]
[874.36066],[870.3919]
[721.58966],[700.35077]
[1217.615],[1156.5986]
[891.30066],[943.8415]
[935.7003],[1015.90063]
[1035.1733],[1011.9625]
[778.06464],[829.23944]
[937.01],[919.36053]
[1126.4004],[1109.4502]
[1261.994],[1337.1791]
[1034.6187],[1018.5252]
[1349.584],[1347.21]
[874.54333],[859.713]
[966.4717],[1025.0079]
[1101.3756],[1129.5715]
[836.88],[830.7098]
[945.45233],[918.28064]
