group,Date,KWH,Next_3_Days_Energy_Total,sunshine,global_radiation,max_temp,mean_temp,min_temp,pressure,cloud_cover_0.0,cloud_cover_1.0,cloud_cover_2.0,cloud_cover_3.0,cloud_cover_4.0,cloud_cover_5.0,cloud_cover_6.0,cloud_cover_7.0,cloud_cover_8.0,precipitation_0,precipitation_1,precipitation_2,precipitation_3,precipitation_4,snow_depth_0.0,snow_depth_1.0,Predictions
51,2013-07-28,709.308,708.3356666666668,468.0,233.0,24.7,19.8,14.7,100680.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[739.3563]
23,2013-06-10,734.846,753.2226666666666,6.0,89.0,18.1,13.3,10.5,101570.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[765.41626]
55,2013-10-12,948.35,1040.658,180.0,77.0,11.4,11.7,9.2,101820.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1064.91]
24,2012-10-15,987.549,960.9926666666668,36.0,44.0,15.9,8.6,2.9,100240.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[931.5623]
31,2013-02-01,859.051,891.198,84.0,36.0,5.7,6.2,4.7,100250.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[943.697]
51,2014-02-19,925.996,928.890666666667,6.0,30.0,13.5,7.6,4.1,101120.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,[907.69415]
47,2013-07-07,668.304,657.584,828.0,325.0,27.7,23.0,16.5,103160.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[708.8731]
16,2013-03-06,1131.862,1141.2803333333334,6.0,42.0,10.3,9.3,4.8,100060.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[1196.9744]
48,2014-01-16,909.41,893.6560000000003,156.0,37.0,9.2,9.0,7.4,99040.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,[918.00073]
29,2013-05-18,895.749,874.4826666666667,102.0,131.0,18.8,12.4,8.8,100820.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[894.04443]
32,2013-08-21,798.329,824.8253333333332,678.0,249.0,23.9,20.1,12.7,102370.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,[828.9299]
9,2013-04-21,1052.791,897.743,474.0,210.0,15.5,8.1,1.4,102150.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[916.90027]
17,2013-02-26,1225.546,1198.1603333333337,0.0,30.0,6.6,3.7,2.4,103240.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1191.1344]
32,2013-07-19,794.52,847.4766666666666,858.0,324.0,24.6,22.6,15.9,102510.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[836.5389]
55,2014-01-29,1192.598,1156.244333333333,0.0,18.0,6.0,4.8,4.7,99400.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,[1189.007]
37,2013-07-30,873.58,861.7796666666667,186.0,157.0,26.9,18.8,15.2,101350.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,[888.3845]
8,2013-07-26,703.483,673.1919999999999,474.0,236.0,28.9,20.4,13.9,101240.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,[711.28284]
40,2012-09-28,600.846,679.525,96.0,73.0,16.7,13.3,8.5,101300.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[974.8977]
